huccode,name,Known meadow area (acres),Lost meadow area (acres),Unburned 30yr (%),Recent burned 5yr (%)
1605010103,Upper Truckee River-Frontal Lake Tahoe,2773.4,5524,79.9,16.2
1605010104,General Creek-Frontal Lake Tahoe,1285.1,4226.6,99.1,0
1605010201,Little Truckee River,5441.8,9144.1,100,0
1605010202,Prosser Creek-Truckee River,2028.9,9225,100,0
1605030201,Upper West Walker River,1571.1,5214.9,98.4,0
1802012502,Upper North Yuba River,1409.8,3077.6,97.4,0
1802012505,Middle Yuba River,900.1,2881.5,99.9,0
1802012506,Upper South Yuba River,1219.8,6850.1,98.2,0
1802012801,Upper North Fork American River,524.8,2675.8,84.2,0
1802012802,Rubicon River,1485.1,5664,62,13.5
1802012803,Upper Middle Fork American River,97.1,800.8,62.5,16.3
1802012901,Silver Fork American River,1438,1715.6,33.9,66.1
1802012902,Silver Creek,1600.4,2996.2,78.1,2.6
1802012903,Upper South Fork American River,1778.6,1313.2,21.5,64.3
1803000101,Rock Creek-Kern River,4833.8,2521.7,98.7,0
1803000102,Golden Trout Creek-Kern River,2998.6,2409.1,89.3,0
1803000103,Little Kern River,609.8,698.4,18.5,10.6
1803000104,Rattlesnake Creek-Kern River,1719.8,846.6,27.8,0
1803000105,Brush Creek-Kern River,857.3,1058.2,4.7,34.2
1803000201,Headwaters South Fork Kern River,10173.2,5850.9,84.9,0
1803000701,Middle Fork Kaweah River,1043.7,143.6,68.5,29.9
1803000702,East Fork Kaweah River,864.4,288.6,75.6,14
1803000704,Marble Fork Kaweah River-Kaweah River,933.2,415.4,54.8,38.3
1803001001,Roaring River,1125.6,1568.7,93.5,0
1803001002,Upper South Fork Kings River,3516.5,2922,98.5,0
1803001003,Middle Fork Kings River,3519.3,3307.3,84.9,0
1803001004,Lower South Fork Kings River,794.9,983.1,34.5,0.9
1803001005,Dinkey Creek,1252.5,1491.3,99.3,0
1803001006,North Fork Kings River,2695.3,8405.6,90.2,0
1803001008,Pine Flat Reservoir-Kings River,544.8,1012.1,80.2,0
1804000601,Mono Creek,1871,1930.4,85.1,0
1804000602,Upper South Fork San Joaquin River,4469.5,7583.5,95.1,0
1804000603,Fish Creek,1608.6,1967.6,96.4,0
1804000604,Middle Fork San Joaquin River,2914.8,2207.6,71.9,0
1804000605,Granite Creek,482,2294.2,48.3,0
1804000606,Lower South Fork San Joaquin River,410.8,752.7,8.5,0
1804000607,Chiquito Creek,901.9,1274.8,30.8,0
1804000608,Kaiser Creek-San Joaquin River,875.8,2182.9,13,0
1804000609,Big Creek,2170.2,5028.5,55.5,0
1804000610,Stevenson Creek-San Joaquin River,612.3,577.8,14.4,0
1804000611,Willow Creek,546.6,683.3,64.7,0
1804000801,Headwaters Merced River,3710.6,6990.4,85.8,5.8
1804000802,South Fork Merced River,1741.5,2131.1,51.5,6.3
1804000803,Yosemite Creek-Merced River,1455.3,2741.2,60.8,0
1804000901,Headwaters Tuolumne River,8424.5,7316.8,99.1,0.1
1804000902,Rancheria Creek,1863.8,2199.9,97,0
1804000903,Eleanor Creek,816.7,1897.4,57.2,0
1804000904,Cherry Creek,1623.9,5601,70.4,2.8
1804000905,Falls Creek-Tuolumne River,2982,3747.3,65.7,4.8
1804000906,Middle Tuolumne River,733.2,1489.6,17.4,0
1804000908,Clavey River,838.9,2093.9,35.6,9.6
1804001002,Upper Middle Fork Stanislaus River,1356.2,2913.3,82,0
1804001003,North Fork Stanislaus River,1508,3351.8,86.3,0
1804001004,Lower Middle Fork Stanislaus River,437.2,1312.7,77.3,4.6
1804001005,South Fork Stanislaus River,1365.4,2188.4,98.2,1.8
1804001201,Upper North Fork Mokelumne River,2871.5,3512,96.4,0
1809010103,Rush Creek,2417.5,4577.3,94.9,0
1809010202,Hot Creek-Owens River,8338.1,22473.1,94.7,0.8
1809010203,Rock Creek,1153.7,1549.4,90.2,0
1809010206,Bishop Creek,1059.7,1311.4,99,0
