huccode,axis,value
1710030901,forest,Klamath National Forest
1710031101,forest,Klamath National Forest
1710031103,forest,Klamath National Forest
1801010102,forest,Klamath National Forest
1801010103,forest,Klamath National Forest
1801020413,forest,Klamath National Forest
1801020414,forest,Klamath National Forest
1801020501,forest,Klamath National Forest
1801020502,forest,Klamath National Forest
1801020503,forest,Klamath National Forest
1801020602,forest,Klamath National Forest
1801020603,forest,Klamath National Forest
1801020605,forest,Klamath National Forest
1801020606,forest,Klamath National Forest
1801020607,forest,Klamath National Forest
1801020608,forest,Klamath National Forest
1801020609,forest,Klamath National Forest
1801020610,forest,Klamath National Forest
1801020611,forest,Klamath National Forest
1801020701,forest,Klamath National Forest
1801020702,forest,Klamath National Forest
1801020703,forest,Klamath National Forest
1801020704,forest,Klamath National Forest
1801020705,forest,Klamath National Forest
1801020801,forest,Klamath National Forest
1801020802,forest,Klamath National Forest
1801020803,forest,Klamath National Forest
1801020804,forest,Klamath National Forest
1801020805,forest,Klamath National Forest
1801020806,forest,Klamath National Forest
1801020901,forest,Klamath National Forest
1801020902,forest,Klamath National Forest
1801020903,forest,Klamath National Forest
1801020904,forest,Klamath National Forest
1801020905,forest,Klamath National Forest
1801020906,forest,Klamath National Forest
1801020908,forest,Klamath National Forest
1801021001,forest,Klamath National Forest
1801021002,forest,Klamath National Forest
1801021003,forest,Klamath National Forest
1801021004,forest,Klamath National Forest
1801021101,forest,Klamath National Forest
1801021102,forest,Klamath National Forest
1801021104,forest,Klamath National Forest
1801021105,forest,Klamath National Forest
1801021109,forest,Klamath National Forest
1801021110,forest,Klamath National Forest
1802000303,forest,Klamath National Forest
1802000304,forest,Klamath National Forest
1802000401,forest,Klamath National Forest
1802000213,forest,Lassen National Forest
1802000219,forest,Lassen National Forest
1802000302,forest,Lassen National Forest
1802000303,forest,Lassen National Forest
1802000304,forest,Lassen National Forest
1802000305,forest,Lassen National Forest
1802000307,forest,Lassen National Forest
1802000308,forest,Lassen National Forest
1802000309,forest,Lassen National Forest
1802000310,forest,Lassen National Forest
1802000311,forest,Lassen National Forest
1802015101,forest,Lassen National Forest
1802015103,forest,Lassen National Forest
1802015104,forest,Lassen National Forest
1802015402,forest,Lassen National Forest
1802015403,forest,Lassen National Forest
1801010202,forest,Mendocino National Forest
1801010301,forest,Mendocino National Forest
1801010302,forest,Mendocino National Forest
1801010305,forest,Mendocino National Forest
1801010401,forest,Mendocino National Forest
1801010402,forest,Mendocino National Forest
1801010404,forest,Mendocino National Forest
1801010405,forest,Mendocino National Forest
1801010501,forest,Mendocino National Forest
1801011001,forest,Mendocino National Forest
1801021201,forest,Mendocino National Forest
1802011501,forest,Mendocino National Forest
1802011502,forest,Mendocino National Forest
1802011503,forest,Mendocino National Forest
1802011504,forest,Mendocino National Forest
1802011505,forest,Mendocino National Forest
1802011601,forest,Mendocino National Forest
1802011602,forest,Mendocino National Forest
1802011603,forest,Mendocino National Forest
1802011604,forest,Mendocino National Forest
1802011605,forest,Mendocino National Forest
1802015204,forest,Mendocino National Forest
1802015503,forest,Mendocino National Forest
1802015504,forest,Mendocino National Forest
1802015602,forest,Mendocino National Forest
1802015604,forest,Mendocino National Forest
1802015605,forest,Mendocino National Forest
1801020410,forest,Modoc National Forest
1801020411,forest,Modoc National Forest
1801020413,forest,Modoc National Forest
1801020414,forest,Modoc National Forest
1802000213,forest,Modoc National Forest
1802000219,forest,Modoc National Forest
1802000303,forest,Modoc National Forest
1802000305,forest,Modoc National Forest
1802000308,forest,Modoc National Forest
1710031206,forest,Outside National Forest
1801010206,forest,Outside National Forest
1801010303,forest,Outside National Forest
1801010304,forest,Outside National Forest
1801010403,forest,Outside National Forest
1801010502,forest,Outside National Forest
1801010505,forest,Outside National Forest
1801010508,forest,Outside National Forest
1801010510,forest,Outside National Forest
1801010511,forest,Outside National Forest
1801010601,forest,Outside National Forest
1801010602,forest,Outside National Forest
1801010603,forest,Outside National Forest
1801010604,forest,Outside National Forest
1801010701,forest,Outside National Forest
1801010702,forest,Outside National Forest
1801010703,forest,Outside National Forest
1801010704,forest,Outside National Forest
1801010801,forest,Outside National Forest
1801010802,forest,Outside National Forest
1801010803,forest,Outside National Forest
1801010804,forest,Outside National Forest
1801010805,forest,Outside National Forest
1801010806,forest,Outside National Forest
1801010807,forest,Outside National Forest
1801010808,forest,Outside National Forest
1801010809,forest,Outside National Forest
1801010901,forest,Outside National Forest
1801010902,forest,Outside National Forest
1801011002,forest,Outside National Forest
1801011003,forest,Outside National Forest
1801011004,forest,Outside National Forest
1801011005,forest,Outside National Forest
1801011006,forest,Outside National Forest
1801011007,forest,Outside National Forest
1801011008,forest,Outside National Forest
1801011009,forest,Outside National Forest
1802010401,forest,Outside National Forest
1802010405,forest,Outside National Forest
1802010406,forest,Outside National Forest
1802010407,forest,Outside National Forest
1802010408,forest,Outside National Forest
1802011506,forest,Outside National Forest
1802011606,forest,Outside National Forest
1802011607,forest,Outside National Forest
1802015203,forest,Outside National Forest
1802015207,forest,Outside National Forest
1802015208,forest,Outside National Forest
1802015404,forest,Outside National Forest
1802015405,forest,Outside National Forest
1802015502,forest,Outside National Forest
1802016201,forest,Outside National Forest
1802016202,forest,Outside National Forest
1802016203,forest,Outside National Forest
1802016204,forest,Outside National Forest
1805000101,forest,Outside National Forest
1805000201,forest,Outside National Forest
1805000202,forest,Outside National Forest
1805000203,forest,Outside National Forest
1805000204,forest,Outside National Forest
1805000205,forest,Outside National Forest
1805000206,forest,Outside National Forest
1805000208,forest,Outside National Forest
1805000503,forest,Outside National Forest
1805000504,forest,Outside National Forest
1710030901,forest,Rogue River-Siskiyou National Forests
1710031101,forest,Rogue River-Siskiyou National Forests
1710031103,forest,Rogue River-Siskiyou National Forests
1710031104,forest,Rogue River-Siskiyou National Forests
1710031202,forest,Rogue River-Siskiyou National Forests
1710031203,forest,Rogue River-Siskiyou National Forests
1801010101,forest,Rogue River-Siskiyou National Forests
1801010102,forest,Rogue River-Siskiyou National Forests
1801010104,forest,Rogue River-Siskiyou National Forests
1801020604,forest,Rogue River-Siskiyou National Forests
1801020606,forest,Rogue River-Siskiyou National Forests
1801020609,forest,Rogue River-Siskiyou National Forests
1801020610,forest,Rogue River-Siskiyou National Forests
1801020611,forest,Rogue River-Siskiyou National Forests
1801020901,forest,Rogue River-Siskiyou National Forests
1801020902,forest,Rogue River-Siskiyou National Forests
1801020904,forest,Rogue River-Siskiyou National Forests
1801010202,forest,Shasta-Trinity National Forest
1801010203,forest,Shasta-Trinity National Forest
1801010402,forest,Shasta-Trinity National Forest
1801020413,forest,Shasta-Trinity National Forest
1801020501,forest,Shasta-Trinity National Forest
1801020502,forest,Shasta-Trinity National Forest
1801020701,forest,Shasta-Trinity National Forest
1801020702,forest,Shasta-Trinity National Forest
1801020704,forest,Shasta-Trinity National Forest
1801020801,forest,Shasta-Trinity National Forest
1801020802,forest,Shasta-Trinity National Forest
1801020908,forest,Shasta-Trinity National Forest
1801021001,forest,Shasta-Trinity National Forest
1801021004,forest,Shasta-Trinity National Forest
1801021101,forest,Shasta-Trinity National Forest
1801021102,forest,Shasta-Trinity National Forest
1801021103,forest,Shasta-Trinity National Forest
1801021104,forest,Shasta-Trinity National Forest
1801021105,forest,Shasta-Trinity National Forest
1801021106,forest,Shasta-Trinity National Forest
1801021107,forest,Shasta-Trinity National Forest
1801021108,forest,Shasta-Trinity National Forest
1801021109,forest,Shasta-Trinity National Forest
1801021110,forest,Shasta-Trinity National Forest
